Index,ID,Name,Short Description,path,classification
12,T1197,BITS Jobs,"Adversaries may abuse BITS jobs to persistently execute code and perform various background tasks. Adversaries may abuse BITS to download (e.g. Ingress Tool Transfer), execute, and even clean up after running malicious code (e.g. Indicator Removal). ",res://images/card_images/attack/BITS Jobs.png,2
13,T1547,Boot or Logon Autostart Execution,Adversaries may configure system settings to automatically execute a program during system boot or logon to maintain persistence or gain higher-level privileges on compromised systems.,res://images/card_images/attack/Boot or Logon Autostart Execution.png,2
14,T1037,Boot or Logon Initialization Scripts,"Adversaries may use scripts automatically executed at boot or logon initialization to establish persistence. Initialization scripts can be used to perform administrative functions, which may often execute other programs or send information to an internal logging server. These scripts can vary based on operating system and whether applied locally or remotely.  ",res://images/card_images/attack/Boot or Logon Initialization Scripts.png,2
15,T1176,Browser Extensions,"Adversaries may abuse Internet browser extensions to establish persistent access to victim systems. Malicious extensions can be installed into a browser through malicious app store downloads masquerading as legitimate extensions, through social engineering, or by an adversary that has already compromised a system.",res://images/card_images/attack/Browser Extensions.png,2
16,T1217,Browser Information Discovery,"Adversaries may enumerate information about browsers to learn more about compromised environments.Data saved by browsers (such as bookmarks, accounts, and browsing history) may reveal a variety of personal information about users (e.g., banking sites, relationships/interests, social media, etc.) as well as details about internal network resources such as servers, tools/dashboards, or other related infrastructure.
",res://images/card_images/attack/Browser Information Discovery.png,2
17,T1185,Browser Session Hijacking,"Adversaries may take advantage of security vulnerabilities and inherent functionality in browser software to change content, modify user-behaviors, and intercept information as part of various browser session hijacking techniques.",res://images/card_images/attack/Browser Session Hijacking.png,2
18,T1110,Brute Force,"Adversaries may use brute force techniques to gain access to accounts when passwords are unknown or when password hashes are obtained. Without knowledge of the password for an account or set of accounts, an adversary may systematically guess the password using a repetitive or iterative mechanism. ",res://images/card_images/attack/BruteForce.png,2
19,T1612,Build Image on Host,Adversaries may build a container image directly on a host to bypass defenses that monitor for the retrieval of malicious images from a public registry.,res://images/card_images/attack/Build File on Host.png,2
20,T1115,Clipboard Data,Adversaries may collect data stored in the clipboard from users copying information within or between applications. ,res://images/card_images/attack/Clipboard Data.png,2
21,T1651,Cloud Administration Command,Adversaries may abuse cloud management services to execute commands within virtual machines.,res://images/card_images/attack/CloudAdministrationCommand.png,2
22,T1580,Cloud Infrastructure Discovery,An adversary may attempt to discover infrastructure and resources that are available within an infrastructure-as-a-service (IaaS) environment.,res://images/card_images/attack/Cloud Infrastructure Discovery.png,2
23,T1538,Cloud Service Dashboard,"An adversary may use a cloud service dashboard GUI with stolen credentials to gain useful information from an operational cloud environment, such as specific services, resources, and features. ",res://images/card_images/attack/Cloud Service Dashboard.png,2
24,T1526,Cloud Service Discovery,"An adversary may attempt to enumerate the cloud services running on a system after gaining access. These methods can differ from platform-as-a-service (PaaS), to infrastructure-as-a-service (IaaS), or software-as-a-service (SaaS).",res://images/card_images/attack/Cloud Service Discovery.png,2
25,T1619,Cloud Storage Object Discovery,"Adversaries may enumerate objects in cloud storage infrastructure. Adversaries may use this information during automated discovery to shape follow-on behaviors, including requesting all or specific objects from cloud storage. ",res://images/card_images/attack/Cloud Storage Object Discovery.png,2
26,T1059,Command and Scripting Interpreter,"Adversaries may abuse command and script interpreters to execute commands, scripts, or binaries. These interfaces and languages provide ways of interacting with computer systems and are a common feature across many different platforms. ",res://images/card_images/attack/CommandAndScriptingInterpreter.png,2
27,T1092,Communication Through Removable Media,Adversaries can perform command and control between compromised hosts on potentially disconnected networks using removable media to transfer commands from system to system; Both systems would need to be compromised,res://images/card_images/attack/Communication Through Removable Media.png,2
28,T1586,Compromise Accounts,Adversaries may compromise accounts with services that can be used during targeting,,1
29,T1554,Compromise Host Software Binary,"Adversaries may modify host software binaries to establish persistent access to systems. Software binaries/executables provide a wide range of system commands or services, programs, and libraries",res://images/card_images/attack/Compromise Host Software Binary.png,2
30,T1584,Compromise Infrastructure,"Adversaries may compromise third-party infrastructure that can be used during targeting. Infrastructure solutions include physical or cloud servers, domains, network devices, and third-party web and DNS services.",,1
31,T1609,Container Administration Command,"Adversaries may abuse a container administration service to execute commands within a container. A container administration service such as the Docker daemon, the Kubernetes API server, or the kubelet may allow remote management of containers within an environment.
",res://images/card_images/attack/Container Administration Command.png,2
32,T1613,Container and Resource Discovery,"Adversaries may attempt to discover containers and other resources that are available within a containers environment. Other resources may include images, deployments, pods, nodes, and other information such as the status of a cluster.",res://images/card_images/attack/ContainerAndResourceDiscovery.png,2
33,T1659,Content Injection,Adversaries may gain access and continuously communicate with victims by injecting malicious content into systems through online network traffic. ,res://images/card_images/attack/Content Injection.png,1
34,T1136,Create Account,"Adversaries may create an account to maintain access to victim systems. With a sufficient level of access, creating such accounts may be used to establish secondary credentialed access that do not require persistent remote access tools to be deployed on the system.",res://images/card_images/attack/CreateAccount.png,2
35,T1543,Create or Modify System Process,"Adversaries may create or modify system-level processes to repeatedly execute malicious payloads as part of persistence. When operating systems boot up, they can start processes that perform background system functions.",res://images/card_images/attack/Create or Modify System Processes.png,2
36,T1555,Credentials from Password Stores,Adversaries may search for common password storage locations to obtain user credentials. ,res://images/card_images/attack/Credentials from Password Stores.png,2
37,T1485,Data Destruction,"Adversaries may destroy data and files on specific systems or in large numbers on a network to interrupt availability to systems, services, and network resources. ",res://images/card_images/attack/Data Destruction.png,3
38,T1132,Data Encoding,Adversaries may encode data to make the content of command and control traffic more difficult to detect. Command and control (C2) information can be encoded using a standard data encoding system.,res://images/card_images/attack/Data Encoding.png,2
39,T1486,Data Encrypted for Impact,Adversaries may encrypt data on target systems or on large numbers of systems in a network to interrupt availability to system and network resources.,res://images/card_images/attack/DataEncryptedForImpact.png,3
40,T1565,Data Manipulation,"Adversaries may insert, delete, or manipulate data in order to influence external outcomes or hide activity, thus threatening the integrity of the data. By manipulating data, adversaries may attempt to affect a business process, organizational understanding, or decision making.",res://images/card_images/attack/DataManipulation.png,3
41,T1001,Data Obfuscation,"Adversaries may obfuscate command and control traffic to make it more difficult to detect.  This encompasses many methods, such as adding junk data to protocol traffic, using steganography, or impersonating legitimate protocols. ",res://images/card_images/attack/Data Obfuscation.png,2
42,T1074,Data Staged,Adversaries may stage collected data in a central location or directory prior to Exfiltration. Data may be kept in separate files or combined into one file through techniques such as Archive Collected Data.,res://images/card_images/attack/Data Staged.png,2
43,T1030,Data Transfer Size Limits,An adversary may exfiltrate data in fixed size chunks instead of whole files or limit packet sizes below certain thresholds. This approach may be used to avoid triggering network data transfer threshold alerts.,res://images/card_images/attack/DataTransferSizeLimits.png,3
44,T1530,Data from Cloud Storage,"Adversaries may access data from cloud storage.This open access may expose various types of sensitive data, such as credit cards, personally identifiable information, or medical records.
",res://images/card_images/attack/Data From Cloud Storage.png,2
45,T1602,Data from Configuration Repository,Adversaries may collect data related to managed devices from configuration repositories.Adversaies may target these repositories in order to collect large quantities of sensitive system administration data. ,res://images/card_images/attack/Data from Configuration Repository.png,2
46,T1213,Data from Information Repositories,"Adversaries may leverage information repositories to mine valuable information. Information repositories are tools that allow for storage of information, typically to facilitate collaboration or information sharing between users, and can store a wide variety of data that may aid adversaries in further objectives, or direct access to the target information",res://images/card_images/attack/Data from Information Repository.png,2
47,T1005,Data from Local System,"Adversaries may search local system sources, such as file systems and configuration files or local databases, to find files of interest and sensitive data prior to Exfiltration.",res://images/card_images/attack/Data From Local System.png,2
48,T1039,Data from Network Shared Drive,"Adversaries may search network shares on computers they have compromised to find files of interest. Sensitive data can be collected from remote systems via shared network drives (host shared directory, network file server, etc.) that are accessible from the current system prior to Exfiltration. ",res://images/card_images/attack/Data From Network Shared Drive.png,2
49,T1025,Data from Removable Media,"Adversaries may search connected removable media on computers they have compromised to find files of interest. Sensitive data can be collected from any removable media (optical disk drive, USB memory, etc.) connected to the compromised system prior to Exfiltration. ",res://images/card_images/attack/Data from Removable Media.png,3
50,T1622,Debugger Evasion,Adversaries may employ various means to detect and avoid debuggers.Debugger evasion may include changing behaviors based on the results of the checks for the presence of artifacts indicative of a debugged environment.,res://images/card_images/attack/Debugger Evasion.png,2
51,T1491,Defacement,"Adversaries may modify visual content available internally or externally to an enterprise network, thus affecting the integrity of the original content. Reasons for Defacement include delivering messaging, intimidation, or claiming (possibly false) credit for an intrusion.",res://images/card_images/attack/Defacement.png,2
52,T1140,Deobfuscate/Decode Files or Information,Adversaries may use Obfuscated Files or Information to hide artifacts of an intrusion from analysis. They may require separate mechanisms to decode or deobfuscate that information depending on how they intend to use it.,res://images/card_images/attack/Deobfuscate or Decode Files.png,2
53,T1610,Deploy Container,Adversaries may deploy a container into an environment to facilitate execution or evade defenses.,res://images/card_images/attack/Deploy Container.png,2
54,T1652,Device Driver Discovery,"Adversaries may attempt to enumerate local device drivers on a victim host. Information about device drivers may highlight various insights that shape follow-on behaviors, such as the function/purpose of the host, present security tools or other defenses as well as potential exploitable vulnerabilities",res://images/card_images/attack/DeviceDriverDiscovery.png,2
55,T1006,Direct Volume Access,Adversaries may directly access a volume to bypass file access controls and file system monitoring. ,res://images/card_images/attack/Direct Volume Access.png,2
56,T1561,Disk Wipe,Adversaries may wipe or corrupt raw disk data on specific systems or in large numbers in a network to interrupt availability to system and network resources.,res://images/card_images/attack/Disk Wipe.png,3
57,T1482,Domain Trust Discovery,Adversaries may attempt to gather information on domain trust relationships that may be used to identify lateral movement opportunities in Windows multi-domain/forest environments.,res://images/card_images/attack/DomainTrustDiscovery.png,2
58,T1484,Domain or Tenant Policy Modification,Adversaries may modify the configuration settings of a domain or identity tenant to evade defenses and/or escalate privileges in centrally managed environments.,res://images/card_images/attack/Domain or Tenant Policy Modification.png,2
59,T1189,Drive-by Compromise,"Adversaries may gain access to a system through a user visiting a website over the normal course of browsing. With this technique, the user's web browser is typically targeted for exploitation, but adversaries may also use compromised websites for non-exploitation behavior such as acquiring Application Access Token.",res://images/card_images/attack/Drive-By Compromise.png,1
60,T1568,Dynamic Resolution,Adversaries may dynamically establish connections to command and control infrastructure to evade common detections and remediations. ,res://images/card_images/attack/Dynamic Resolution.png,2
61,T1114,Email Collection,"Adversaries may target user email to collect sensitive information. Emails may contain sensitive data, including trade secrets or personal information, that can prove valuable to adversaries.",res://images/card_images/attack/Email Collection.png,2
62,T1573,Encrypted Channel,Adversaries may employ an encryption algorithm to conceal command and control traffic rather than relying on any inherent protections provided by a communication protocol.,res://images/card_images/attack/Encrypted Channel.png,2
63,T1499,Endpoint Denial of Service,Adversaries may perform Endpoint Denial of Service (DoS) attacks to degrade or block the availability of services to users. Endpoint DoS can be performed by exhausting the system resources those services are hosted on or exploiting the system to cause a persistent crash condition.,res://images/card_images/attack/Endpoint Denial of Service.png,3
64,T1611,Escape to Host,"Adversaries may break out of a container to gain access to the underlying host. Gaining access to the host may provide the adversary with the opportunity to achieve follow-on objectives, such as establishing persistence, moving laterally within the environment, accessing other containers running on the host, or setting up a command and control channel on the host.",res://images/card_images/attack/EscapeToHost.png,2
65,T1546,Event Triggered Execution,Adversaries may establish persistence and/or elevate privileges using system mechanisms that trigger execution based on specific events. Various operating systems have means to monitor and subscribe to events such as logons or other user activity such as running specific applications/binaries.,res://images/card_images/attack/EventTriggeredExecution.png,2
66,T1480,Execution Guardrails,Adversaries may use execution guardrails to constrain execution or actions based on adversary supplied and environment specific conditions that are expected to be present on the target. ,res://images/card_images/attack/ExecutionGuardrails.png,2
67,T1048,Exfiltration Over Alternative Protocol,Adversaries may steal data by exfiltrating it over a different protocol than that of the existing command and control channel. The data may also be sent to an alternate network location from the main command and control server.  ,res://images/card_images/attack/Exfiltration Over Alternate Protocol.png,3
68,T1041,Exfiltration Over C2 Channel,Adversaries may steal data by exfiltrating it over an existing command and control channel. Stolen data is encoded into the normal communications channel using the same protocol as command and control communications.,res://images/card_images/attack/ExfiltrationOverC2Channel.png,3
69,T1011,Exfiltration Over Other Network Medium,Adversaries may attempt to exfiltrate data over a different network medium than the command and control channel.,res://images/card_images/attack/Exfiltration Over Other Network Medium.png,3
70,T1052,Exfiltration Over Physical Medium,"Adversaries may attempt to exfiltrate data via a physical medium, such as a removable drive.The physical medium or device could be used as the final exfiltration point or to hop between otherwise disconnected systems.",res://images/card_images/attack/Exfiltration Over Other Physical Medium.png,3
71,T1567,Exfiltration Over Web Service,"Adversaries may use an existing, legitimate external Web service to exfiltrate data rather than their primary command and control channel. ",res://images/card_images/attack/Exfiltration Over Web Service.png,3
72,T1190,Exploit Public-Facing Application,"Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network. The weakness in the system can be a software bug, a temporary glitch, or a misconfiguration.",res://images/card_images/attack/ExploitPublicFacing.png,1
73,T1203,Exploitation for Client Execution,"Adversaries may exploit software vulnerabilities in client applications to execute code.Users will expect to see files related to the applications they commonly used to do work, so they are a useful target for exploit research and development because of their high utility.",res://images/card_images/attack/ExploitationForClientExecution.png,2
74,T1212,Exploitation for Credential Access,Adversaries may exploit software vulnerabilities in an attempt to collect credentials. Credentialing and authentication mechanisms may be targeted for exploitation by adversaries as a means to gain access to useful credentials or circumvent the process to gain authenticated access to systems. ,res://images/card_images/attack/Exploitation for Credential Access.png,2
75,T1211,Exploitation for Defense Evasion,Adversaries may exploit a system or application vulnerability to bypass security features. ,res://images/card_images/attack/Exploitation for Defense Evasion.png,2
76,T1068,Exploitation for Privilege Escalation,Adversaries may exploit software vulnerabilities in an attempt to elevate privileges.,res://images/card_images/attack/Exploitation for Privelige Escalation.png,2
77,T1210,Exploitation of Remote Services,Adversaries may exploit remote services to gain unauthorized access to internal systems once inside of a network. A common goal for post-compromise exploitation of remote services is for lateral movement to enable access to a remote system.,res://images/card_images/attack/Exploitation of Remote Services.png,2
78,T1133,External Remote Services,Adversaries may leverage external-facing remote services to initially access and/or persist within a network,res://images/card_images/attack/External Remote Services.png,1
79,T1008,Fallback Channels,Adversaries may use fallback or alternate communication channels if the primary channel is compromised or inaccessible in order to maintain reliable command and control and to avoid data transfer thresholds.,res://images/card_images/attack/Fallback Channels.png,2
80,T1083,File and Directory Discovery,Adversaries may enumerate files and directories or may search in specific locations of a host or network share for certain information within a file system.,res://images/card_images/attack/File and Directory Service.png,2
81,T1222,File and Directory Permissions Modification,Adversaries may modify file or directory permissions/attributes to evade access control lists (ACLs) and access protected files.,res://images/card_images/attack/FileAndDirectoryPermissionModification.png,2
82,T1657,Financial Theft,"Adversaries may steal monetary resources from targets through extortion, social engineering, technical theft, or other methods aimed at their own financial gain at the expense of the availability of these resources for victims. ",res://images/card_images/attack/Financial Theft.png,3
83,T1495,Firmware Corruption,"Adversaries may overwrite or corrupt the flash memory contents of system BIOS or other firmware in devices attached to a system in order to render them inoperable or unable to boot, thus denying the availability to use the devices and/or the system. ",res://images/card_images/attack/FirmwareCorruption.png,3
84,T1187,Forced Authentication,"Adversaries may gather credential material by invoking or forcing a user to automatically provide authentication information through a mechanism in which they can intercept.",res://images/card_images/attack/ForcedAuthentication.png,2
85,T1606,Forge Web Credentials,Adversaries may forge credential materials that can be used to gain access to web applications or Internet services.,res://images/card_images/attack/Forge Web Credentials.png,2
86,T1615,Group Policy Discovery,"Adversaries may gather information on Group Policy settings to identify paths for privilege escalation, security measures applied within a domain, and to discover patterns in domain objects that can be manipulated or used to blend in the environment. ",res://images/card_images/attack/Group Policy Discovery.png,2
87,T1200,Hardware Additions,"Adversaries may introduce computer accessories, networking hardware, or other computing devices into a system or network that can be used as a vector to gain access.",res://images/card_images/attack/Hardware Addition.png,1
88,T1564,Hide Artifacts,"Adversaries may attempt to hide artifacts associated with their behaviors to evade detection. 
",res://images/card_images/attack/HideArtifacts.png,2
89,T1665,Hide Infrastructure,Adversaries may manipulate network traffic in order to hide and evade detection of their C2 infrastructure. This can be accomplished in various ways including by identifying and filtering traffic from defensive tools and masking malicious domains to obfuscate the true destination from both automated scanning tools and security researchers. ,res://images/card_images/attack/Hide Infrastructure.png,2
90,T1574,Hijack Execution Flow,"Adversaries may execute their own malicious payloads by hijacking the way operating systems run programs. Hijacking execution flow can be for the purposes of persistence, since this hijacked execution may reoccur over time. ",res://images/card_images/attack/HijackExecutionFlow.png,2
91,T1562,Impair Defenses,"Adversaries may maliciously modify components of a victim environment in order to hinder or disable defensive mechanisms. This not only involves impairing preventative defenses, such as firewalls and anti-virus, but also detection capabilities that defenders can use to audit activity and identify malicious behavior.",res://images/card_images/attack/Impare Defenses.png,2
92,T1656,Impersonation,"Adversaries may impersonate a trusted person or organization in order to persuade and trick a target into performing some action on their behalf. They can impersonate a known sender such as an executive, colleague, or third-party vendor. Established trust can then be leveraged to accomplish an adversary’s ultimate goals, possibly against multiple victims. ",res://images/card_images/attack/Impersonation.png,2
93,T1525,Implant Internal Image,"Adversaries may implant cloud or container images with malicious code to establish persistence after gaining access to an environment. Unlike Upload Malware, this technique focuses on adversaries implanting an image in a registry within a victim’s environment. ",res://images/card_images/attack/Implant Internal Image.png,2
94,T1070,Indicator Removal,Adversaries may delete or modify artifacts generated within systems to remove evidence of their presence or hinder defenses. Various artifacts may be created by an adversary or something that can be attributed to an adversary’s actions. ,res://images/card_images/attack/HijackExecutionFlow.png,2
95,T1202,Indirect Command Execution,"Adversaries may abuse utilities that allow for command execution to bypass security restrictions that limit the use of command-line interpreters. Various Windows utilities may be used to execute commands, possibly without invoking cmd.",res://images/card_images/attack/IndirectCommandExecution.png,2
96,T1105,Ingress Tool Transfer,Adversaries may transfer tools or other files from an external system into a compromised environment. Tools or files may be copied from an external adversary-controlled system to the victim network through the command and control channel or through alternate protocols such as ftp.,res://images/card_images/attack/Ingress Tool Transfer.png,2
97,T1490,Inhibit System Recovery,Adversaries may delete or remove built-in data and turn off services designed to aid in the recovery of a corrupted system to prevent recovery. This may deny access to available backups and recovery options.,res://images/card_images/attack/Inhibit System Recovery.png,3
98,T1056,Input Capture,"Adversaries may use methods of capturing user input to obtain credentials or collect information. During normal system usage, users often provide credentials to various different locations, such as login pages/portals or system dialog boxes. ",res://images/card_images/attack/InputCapture.png,2
99,T1559,Inter-Process Communication,"Adversaries may abuse inter-process communication (IPC) mechanisms for local code or command execution. IPC is typically used by processes to share data, communicate with each other, or synchronize execution. IPC is also commonly used to avoid situations such as deadlocks, which occurs when processes are stuck in a cyclic waiting pattern. ",res://images/card_images/attack/Inter-Processes Communication.png,2
100,T1534,Internal Spearphishing,"After they already have access to accounts or systems within the environment, adversaries may use internal spearphishing to gain access to additional information or compromise other users within the same organization. Internal spearphishing is multi-staged campaign where a legitimate account is initially compromised either by controlling the user's device or by compromising the account credentials of the user.",res://images/card_images/attack/Internal Spearphishing.png,2
101,T1570,Lateral Tool Transfer,"Adversaries may transfer tools or other files between systems in a compromised environment. Once brought into the victim environment (i.e., Ingress Tool Transfer) files may then be copied from one system to another to stage adversary tools or other files over the course of an operation.",res://images/card_images/attack/LateralToolTransfer.png,2
102,T1654,Log Enumeration,"Adversaries may enumerate system and service logs to find useful data. These logs may highlight various types of valuable insights for an adversary, such as user authentication records (Account Discovery), security or vulnerable software (Software Discovery), or hosts within a compromised network (Remote System Discovery).",res://images/card_images/attack/Log Enumeration.png,2
103,T1036,Masquerading,"Adversaries may attempt to manipulate features of their artifacts to make them appear legitimate or benign to users and/or security tools. Masquerading occurs when the name or location of an object, legitimate or malicious, is manipulated or abused for the sake of evading defenses and observation.",res://images/card_images/attack/Masquerading.png,2
104,T1556,Modify Authentication Process,"Adversaries may modify authentication mechanisms and processes to access user credentials or enable otherwise unwarranted access to accounts. The authentication process is handled by mechanisms, such as the Local Security Authentication Server (LSASS) process and the Security Accounts Manager (SAM) on Windows.",res://images/card_images/attack/Modify Authentication Process.png,2
105,T1578,Modify Cloud Compute Infrastructure,"An adversary may attempt to modify a cloud account's compute service infrastructure to evade defenses. A modification to the compute service infrastructure can include the creation, deletion, or modification of one or more components such as compute instances, virtual machines, and snapshots.",res://images/card_images/attack/Modify Cloud Compute Infrastructure.png,2
106,T1112,Modify Registry,"Adversaries may interact with the Windows Registry to hide configuration information within Registry keys, remove information as part of cleaning up, or as part of other techniques to aid in persistence and execution.",res://images/card_images/attack/Modify Registry.png,2
107,T1601,Modify System Image,"Adversaries may make changes to the operating system of embedded network devices to weaken defenses and provide new capabilities for themselves.  On such devices, the operating systems are typically monolithic and most of the device functionality and capabilities are contained within a single file.",res://images/card_images/attack/ModifySystemImage.png,2
108,T1111,Multi-Factor Authentication Interception,"Adversaries may target multi-factor authentication (MFA) mechanisms, (i.e., smart cards, token generators, etc.) to gain access to credentials that can be used to access systems, services, and network resources. ",res://images/card_images/attack/Multi-Factor Authentication Interception.png,2
109,T1621,Multi-Factor Authentication Request Generation,Adversaries may attempt to bypass multi-factor authentication (MFA) mechanisms and gain access to accounts by generating MFA requests sent to users.,res://images/card_images/attack/Multi-Factor Authentication Request Generation.png,2
110,T1104,Multi-Stage Channels,Adversaries may create multiple stages for command and control that are employed under different conditions or for certain functions. Use of multiple stages may obfuscate the command and control channel to make detection more difficult.,res://images/card_images/attack/Multi Stage Channel.png,2
111,T1106,Native API,"Adversaries may interact with the native OS application programming interface (API) to execute behaviors. Native APIs provide a controlled means of calling low-level OS services within the kernel, such as those involving hardware/devices, memory, and processes.",res://images/card_images/attack/Native API.png,2
112,T1599,Network Boundary Bridging,Adversaries may bridge network boundaries by compromising perimeter network devices or internal devices responsible for network segmentation. Breaching these devices may enable an adversary to bypass restrictions on traffic routing that otherwise separate trusted and untrusted networks.,res://images/card_images/attack/Network Boundary Bridging.png,2
113,T1498,Network Denial of Service,"Adversaries may perform Network Denial of Service (DoS) attacks to degrade or block the availability of targeted resources to users. Network DoS can be performed by exhausting the network bandwidth services rely on. Example resources include specific websites, email services, DNS, and web-based applications. ",res://images/card_images/attack/Network Denial of Services.png,3
114,T1046,Network Service Discovery,"Adversaries may attempt to get a listing of services running on remote hosts and local network infrastructure devices, including those that may be vulnerable to remote software exploitation. Common methods to acquire this information include port and/or vulnerability scans using tools that are brought onto a system.   ",res://images/card_images/attack/Network Service Discovery.png,2
115,T1135,Network Share Discovery,Adversaries may look for folders and drives shared on remote systems as a means of identifying sources of information to gather as a precursor for Collection and to identify potential systems of interest for Lateral Movement. Networks often contain shared network drives and folders that enable users to access file directories on various systems across a network. ,res://images/card_images/attack/NetworkShareDiscovery.png,2
116,T1040,Network Sniffing,"Adversaries may passively sniff network traffic to capture information about an environment, including authentication material passed over the network. Network sniffing refers to using the network interface on a system to monitor or capture information sent over a wired or wireless connection.",res://images/card_images/attack/Network Sniffing.png,2
117,T1095,Non-Application Layer Protocol,"Adversaries may use an OSI non-application layer protocol for communication between host and C2 server or among infected hosts within a network. The list of possible protocols is extensive. Specific examples include use of network layer protocols, such as the Internet Control Message Protocol (ICMP) and transport layer protocols.",res://images/card_images/attack/Non Application Layer Protocol.png,2
118,T1571,Non-Standard Port,"Adversaries may communicate using a protocol and port pairing that are typically not associated. For example, HTTPS over port 8088 or port 587 as opposed to the traditional port 443. Adversaries may make changes to the standard port used by a protocol to bypass filtering or muddle analysis/parsing of network data.",res://images/card_images/attack/Non-Standard Port.png,2
119,T1003,OS Credential Dumping,"Adversaries may attempt to dump credentials to obtain account login and credential material, normally in the form of a hash or a clear text password. Credentials can be obtained from OS caches, memory, or structures. Credentials can then be used to perform Lateral Movement and access restricted information.",res://images/card_images/attack/OSCredentialDumping.png,2
120,T1027,Obfuscated Files or Information,"Adversaries may attempt to make an executable or file difficult to discover or analyze by encrypting, encoding, or otherwise obfuscating its contents on the system or in transit. This is common behavior that can be used across different platforms and the network to evade defenses. ",res://images/card_images/attack/Obfuscated Files or Information.png,2
121,T1137,Office Application Startup,Adversaries may leverage Microsoft Office-based applications for persistence between startups. There are multiple mechanisms that can be used with Office for persistence when an Office-based application is started; this can include the use of Office Template Macros and add-ins.,res://images/card_images/attack/OfficeApplicationStartup.png,2
122,T1201,Password Policy Discovery,Adversaries may attempt to access detailed information about the password policy used within an enterprise network or cloud environment. Password policies are a way to enforce complex passwords that are difficult to guess or crack through Brute Force. This information may help the adversary to create a list of common passwords and launch dictionary attacks.,res://images/card_images/attack/Password Policy Discovery.png,2
123,T1120,Peripheral Device Discovery,"Adversaries may attempt to gather information about attached peripheral devices and components connected to a computer system. Peripheral devices could include auxiliary resources that support a variety of functionalities such as keyboards, printers, cameras, smart card readers, or removable storage.",res://images/card_images/attack/PeripheralDeviceDiscovery.png,2
124,T1069,Permission Groups Discovery,"Adversaries may attempt to discover group and permission settings. This information can help adversaries determine which user accounts and groups are available, the membership of users in particular groups, and which users and groups have elevated permissions.",res://images/card_images/attack/Permission Groups Discovery.png,2
125,T1566,Phishing,"Adversaries may send phishing messages to gain access to victim systems. All forms of phishing are electronically delivered social engineering. Phishing can be targeted, known as spearphishing. In spearphishing, a specific individual, company, or industry will be targeted by the adversary.",res://images/card_images/attack/Phishing.png,1
